region,Janvier 2013 ,Fevrier 2013,Mars 2013,Avril 2013,Mai 2013,Juin 2013,Juillet 2013,Aout 2013,Septembre 2013,Octobre 2013,Novembre 2013,Decembre 2013,Janvier 2014,Fevrier 2014,Mars 2014,Avril 2014,Mai 2014,Juin 2014,Juillet 2014,Aout 2014,Septembre 2014,Octobre 2014,Novembre 2014,Decembre 2014,Janvier 2015,Fevrier 2015,Mars 2015,Avril 2015,Mai 2015,Juin 2015,Juillet 2015,Aout 2015,Septembre 2015,Octobre 2015,Novembre 2015,Decembre 2015,Janvier 2016,Fevrier 2016,Mars 2016,Avril 2016,Mai 2016,Juin 2016,Juillet 2016,Aout 2016,Septembre 2016,Octobre 2016,Novembre 2016,Decembre 2016,Janvier 2017,Fevrier 2017,Mars 2017,Avril 2017,Mai 2017,Juin 2017,Juillet 2017,Aout 2017,Septembre 2017,Octobre 2017,Novembre 2017,Somme2013,Somme2014,Somme2015,Somme2016
Languedoc-Roussillon,10.03184713,12.982228,19.2494929,14.13316583,11.77429212,15.88327458,15.42416452,10.48109966,13.77388535,15.60112585,16.67042635,16.14736842,8.627370997,8.166747928,9.496080627,7.901726428,11.66258625,26.11308386,12.99610895,13.70332997,18.70625663,18.32146037,18.37181045,18.81771079,10.57631412,12.81459247,12.50570516,10.89528913,12.21047897,16.75953708,17.89473684,21.01463415,14.00206825,12.47751799,18.02168022,11.70590849,14.91908668,11.65929204,10.91846298,10.37667072,16.25751503,19.0625,17.11967546,15.59816257,14.02542373,17.68722467,15.57557118,13.16078087,15.8,14.79857495,12.58928571,10.52389706,9.374309087,12.65661499,16.60642143,15.72614108,11.39954853,16.57957245,,,,,,
Limousin,6.733036416,7.596404755,8.197543244,9.727047146,5.527383367,13.09018236,11.83035714,10.15565195,15.20979021,15.41279922,26.1713694,25.08499271,8.370146478,6.551362683,6.139921722,4.597701149,10.06645336,25.56587348,8.980176738,5.737910298,7.798833819,6.989619377,11.1649248,9.625540086,8.526216344,7.088274045,7.416325548,5.586734694,5.831589958,7.551650439,12.27589641,10.57622174,9.243498818,11.97148476,13.15123925,7.036692987,8.594491928,9.690976514,9.115281501,6.791754757,8.463687151,11.89227002,11.4476386,9.779179811,11.59896689,15.20041645,21.41958218,15.71938169,12.67958951,12.34076433,9.609043806,8.704827222,10.84366642,14.64140731,11.11977137,10.49893592,14.41582097,12.46246246,14.27107353,,,,,
Lorraine,,,,,,,,,,,,,,,,,,,,,,,,,,5.756034552,,,,,,,,,,,7.178346311,5.688,6.529777358,5.671033022,8.025073518,12.21023181,6.15206036,4.477104749,7.392897763,7.098703888,8.711893803,7.565637193,,,,,,,,,,,,,,,,
Midi-Pyrenees,14.25438596,14.58795873,10.244148,8.006131352,8.402380675,10.51187209,16.28752467,9.431452954,10.11427821,9.619544471,14.96266124,20.99987924,13.51652019,11.61805036,11.01413645,9.456950569,8.694105088,12.86392405,13.09204647,10.46360741,9.059593524,12.04776958,15.25295746,17.81140861,10.57758423,11.9246601,8.511371468,9.525556371,8.741689239,11.26974839,9.443710201,8.9408867,11.41620144,15.48585486,16.32255551,12.40319314,11.39451728,10.81048141,11.8430792,10.31155225,11.69828365,14.48223156,12.78621045,11.86862404,12.62584389,10.68031306,18.93054702,16.96526508,16.79275562,13.59289617,12.79935831,11.784169,10.15436565,13.07738452,12.2314885,10.24817879,12.61733395,14.7634382,14.68382904,,,,,
Nord-Pas-de-Calais,13.88152078,7.380707175,17.8030303,8.226739557,6.083273747,8.061431143,8.038585209,7.936507937,10.07681639,13.13892893,13.4995351,12.79695051,8.497723824,8.536727782,8.284179482,4.886525196,7.229651001,,9.583448276,5.910742675,9.524054806,10.01938273,13.35457544,11.73703958,9.73773179,9.784883721,11.23689727,,8.037637456,10.60054362,8.47510633,7.23566879,9.470288796,11.8334744,15.26652452,9.111702128,9.767856207,12.44224948,11.50662252,8.739542666,12.44571361,14.23267327,8.949390999,8.50764526,10.43781245,10.37775667,16.4040426,9.504066337,10.1457929,8.43373494,8.420326965,7.606313021,9.870447064,12.37052856,8.038776049,7.825868143,11.53284672,12.33834851,15.10411105,,,,,
Pays de la Loire,8.888248294,6.657285127,8.874656908,7.276081164,10.8011809,10.57423694,10.76063086,6.909985647,10.28671257,12.72602201,11.08252947,14.52525253,8.168244364,8.820678514,8.376251093,7.146367836,6.1865543,9.865528834,9.407474932,6.097335307,8.045037683,9.287739497,8.42064789,10.97967052,10.18965826,9.412563009,7.63304702,5.587967183,6.11094332,10.26983124,10.14588235,8.843601896,8.528931304,10.24348569,12.84845183,10.73260998,7.826855124,7.800971747,8.960316035,7.907862519,9.174870598,10.18560435,9.814499337,8.734017648,9.865900383,10.06775539,19.71767261,11.7906802,10.90155988,7.531887161,8.787170063,6.382393398,7.521773555,11.05249275,8.68070477,7.740517662,9.123405638,10.21785824,15.54753309,,,,,
Picardie,11.28126595,9.368575624,9.750957854,6.513339466,6.454069491,7.89300179,9.752423986,5.647941594,6.967650196,11.43937396,12.7010538,10.68773234,9.110867179,7.27562899,6.830185301,7.1794411,6.040144297,11.49234694,12.12682726,9.274968895,11.68818927,12.6689036,10.37554408,9.206995466,10.95233705,11.85105969,12.1167118,10.99212887,9.555946792,11.27054526,11.12075617,9.694189602,8.040770102,11.8544498,14.41441441,8.376142795,9.953867991,12.27807886,11.33125122,7.570219315,11.08272745,16.18534206,11.33086115,10.4622369,7.331351887,11.82211583,18.78782148,12.08414419,13.82696391,8.933830748,8.371371975,7.538068665,9.945355191,13.38995302,10.30117852,7.726972961,10.90892124,12.17861976,,,,,,
Poitou-Charentes,10.40073417,4.678168547,6.204485872,6.110102843,5.376670717,11.27569528,13.76326075,7.392550143,10.31019202,11.19931954,10.52465234,8.95140665,5.471956224,9.110629067,6.564929456,6.1774942,6.552623949,13.44444444,9.76744186,7.286077379,8.095909732,7.565144298,9.532538955,12.09994385,10.78873239,10.88834053,8.553203827,10.12918379,6.417274939,9.417808219,10.51752922,9.293785311,8.791208791,11.18901548,11.62014563,15.69008609,14.22005171,16.54888104,15.30766899,11.07766406,14.59086428,14.18498548,12.71791941,11.42540211,8.916833381,11.51207874,18.14133017,16.70428894,14.95975576,12.25080386,12.40694789,10.38611194,10.61403509,11.40706427,12.97203805,9.93227991,10.83819466,10.61843641,14.47368421,,,,,
Provence-Alpes-Cote d'Azur,18.29320722,17.48668627,21.16621409,21.79802039,19.3734976,24.14834314,24.457537,20.15798713,17.69041769,28.03560076,21.28849395,40.58594275,27.33455757,24.80082038,18.37606838,21.65836986,17.61669176,20.6833435,19.48669839,19.36961955,22.62752921,22.26866941,30.06177606,28.20893308,23.14092564,20.81882746,18.46776299,20.4196178,15.80015715,19.81808525,23.80073801,21.19915714,18.97764381,24.97664487,21.13952084,17.91592981,15.62519626,14.80371163,16.4556962,17.92317615,17.9198778,20.61691542,21.71991842,17.53503185,16.61696937,18.87254902,17.57949384,20.2455196,18.78172589,15.92534325,15.2957041,18.15363881,17.35637314,19.05177624,21.32323368,21.08639006,17.80355654,17.66087978,,,,,,
Rhone-Alpes,13.39461798,14.44621655,13.11088642,13.05533905,10.40850588,13.1060578,13.29920707,9.438559322,11.62314026,13.08477079,15.48134328,18.37106221,12.22008273,11.663286,11.44944333,11.45455863,12.22923856,24.84254051,13.07340331,8.849230769,10.91794159,13.25537978,15.42857143,17.23047977,12.27407878,16.63666475,10.7331796,10.92841244,11.23671461,12.43587041,14.50845958,10.11227517,13.98177345,12.71165815,16.07889802,12.67864723,12.64933478,14.05619489,13.77279908,13.11283591,13.13931533,17.35744788,12.57237069,10.43296414,15.41048113,14.74552552,18.59315589,16.35318333,15.99047681,12.63898509,13.7189277,11.74706798,13.84416795,13.94077614,12.96187252,11.81158336,11.45647042,13.36009968,,,,,,
